gmu,county,geoid,gmu_area_fraction
23,Grant,35017,0.6021690707247083
24,Grant,35017,0.7217104997593226
25,Grant,35017,0.039205315574462274
26,Grant,35017,0.13234696007458396
46,Colfax,35007,0.014971523145261796
47,Colfax,35007,0.12692352028649723
48,Colfax,35007,0.42726510221194924
49,Colfax,35007,0.06037865526759016
53,Colfax,35007,3.813781713106283e-4
54,Colfax,35007,1
55A,Colfax,35007,0.8225078851947308
55B,Colfax,35007,1
56,Colfax,35007,0.547390110956383
57,Colfax,35007,0.7813999909444994
59,Colfax,35007,0.044379261311671143
19,Doña Ana,35013,0.282756225438542
20,Doña Ana,35013,0.2271750066651302
21B,Doña Ana,35013,0.2907030432469289
25,Doña Ana,35013,0.40785469106935224
18,Otero,35035,2.4450755180916253e-6
19,Otero,35035,0.29960076536174474
28,Otero,35035,1
29,Otero,35035,0.994860999250801
30,Otero,35035,0.24368840995765736
34,Otero,35035,0.8512013690567767
36,Otero,35035,0.23448286369873572
18,Lincoln,35027,0.11943167850527445
19,Lincoln,35027,0.06650186174877883
32,Lincoln,35027,0.044976576793125354
34,Lincoln,35027,1.0849506705989122e-5
36,Lincoln,35027,0.7655171363012644
37,Lincoln,35027,0.9999999519634213
38,Lincoln,35027,0.4841897764398999
23,Hidalgo,35023,0.1409250747504107
25,Hidalgo,35023,6.79086930396261e-5
26,Hidalgo,35023,0.8676528258588851
27,Hidalgo,35023,1
7,McKinley,35031,0.40860274111732425
9,McKinley,35031,0.25396141441722303
10,McKinley,35031,0.723127515410963
12,McKinley,35031,0.016735269695386218
30,Eddy,35015,0.555103472627033
31,Eddy,35015,0.2387956959067776
32,Eddy,35015,0.03819298426381143
33,Eddy,35015,0.14898293111592267
8,Bernalillo,35001,0.19331716977197907
9,Bernalillo,35001,0.18948770873308934
14,Bernalillo,35001,0.21629204199826121
32,De Baca,35011,0.2681189675948195
39,De Baca,35011,0.14340779089609462
40,De Baca,35011,0.08642604807175075
42,San Miguel,35047,0.685875153896329
43,San Miguel,35047,0.40606025149952635
45,San Miguel,35047,0.34842237327183884
46,San Miguel,35047,0.3045906639022551
47,San Miguel,35047,0.08889609853513232
59,San Miguel,35047,2.0813961461647133e-5
41,Union,35059,0.23117814914602622
56,Union,35059,0.452609889043617
57,Union,35059,0.21860000905550045
58,Union,35059,1
59,Union,35059,0.5164036786748583
40,Quay,35037,0.4486522653178081
41,Quay,35037,0.4093179243550563
42,Quay,35037,0.10150456134123854
31,Lea,35025,0.5187295593558998
33,Lea,35025,0.028394736663263656
9,Cibola,35006,0.23405750516492116
10,Cibola,35006,0.27687248458903707
12,Cibola,35006,0.5380983792451658
13,Cibola,35006,0.36391830909778555
8,Torrance,35057,0.007731689219338584
14,Torrance,35057,0.3998209407409653
18,Torrance,35057,0.09328341373659284
38,Torrance,35057,0.38333744395134217
39,Torrance,35057,0.41281786364333617
43,Torrance,35057,0.05869863469899741
6B,Los Alamos,35028,6.411860489392135e-6
6C,Los Alamos,35028,0.08985707247724106
6A,Santa Fe,35049,0.0011495113444271305
6C,Santa Fe,35049,0.31742079567847015
8,Santa Fe,35049,0.541651362425264
14,Santa Fe,35049,0.0058702307642986415
43,Santa Fe,35049,0.30735705995008467
45,Santa Fe,35049,0.2823570396773736
50,Santa Fe,35049,1.393808462825329e-4
31,Roosevelt,35041,0.20216799514834438
32,Roosevelt,35041,0.08987219886347425
33,Roosevelt,35041,0.03629500582561977
40,Roosevelt,35041,0.03641042348697837
12,Catron,35003,0.44516635105944796
13,Catron,35003,0.16266410646622192
15,Catron,35003,1
16A,Catron,35003,1
16B,Catron,35003,0.44990228361934925
16C,Catron,35003,0.7736323708825079
16D,Catron,35003,1
16E,Catron,35003,0.9227694927529645
21A,Catron,35003,0.15113419400893843
21B,Catron,35003,0.01970754210993261
22,Catron,35003,0.4148808908289857
23,Catron,35003,0.11622255406628332
32,Guadalupe,35019,7.135851404213669e-5
38,Guadalupe,35019,0.11380249600207608
39,Guadalupe,35019,0.44377434546056926
40,Guadalupe,35019,0.1328001686411262
42,Guadalupe,35019,0.1290836774793332
43,Guadalupe,35019,0.2278840538513917
29,Chaves,35005,0.005139000749199085
30,Chaves,35005,0.20120811741530958
31,Chaves,35005,0.012415689927303887
32,Chaves,35005,0.549076411503676
33,Chaves,35005,0.786327326395194
34,Chaves,35005,0.14878778143651727
37,Chaves,35005,4.803657871747061e-8
9,Valencia,35061,0.028881419718759873
13,Valencia,35061,0.10058563632432307
14,Valencia,35061,0.3162650624708544
31,Curry,35009,0.0278910596616742
32,Curry,35009,0.009691502467051163
40,Curry,35009,0.2957110944823365
21B,Luna,35029,0.1510734800169413
23,Luna,35029,0.14068330045859778
24,Luna,35029,0.2773068316756455
25,Luna,35029,0.5528720846631459
26,Luna,35029,2.140665309107335e-7
13,Socorro,35053,0.37283194811166953
14,Socorro,35053,0.06175172402562053
16E,Socorro,35053,0.07723050724703555
17,Socorro,35053,0.9176912165022164
18,Socorro,35053,0.7872824626826146
19,Socorro,35053,0.15858181010554503
20,Socorro,35053,0.20616721939706928
21B,Socorro,35053,0.04381062284041747
38,Socorro,35053,0.018670283606681895
